Grant Number	Group	Modality	GEO accession	SRA accession	PRIDE accession	OMERO accession	Other database	Other database accession	DOI	PMID	Pub Year	Title	Abstract	MeSH Keywords	MeSH Extracted	PubMed Keywords	Authors	Author Affiliation	RCR	Total Citations	Journal Name	Journal Volume	Journal Issue	Journal Pages
U01MH115727	Group 4	Review							10.1016/j.neuron.2011.05.003	21609821	2011	Constructing and deconstructing stem cell models of neurological disease.	Among the disciplines of medicine, the study of neurological disorders is particularly challenging. The fundamental inaccessibility of the human neural types affected by disease prevents their isolation for in vitro studies of degenerative mechanisms or for drug screening efforts. However, the ability to reprogram readily accessible tissue from patients into pluripotent stem (iPS) cells may now provide a general solution to this shortage of human neurons. Gradually improving methods for directing the differentiation of patient-specific stem cells has enabled the production of several neural cell types affected by disease. Furthermore, initial studies with stem cell lines derived from individuals with pediatric, monogenic disorders have validated the stem cell approach to disease modeling, allowing relevant neural phenotypes to be observed and studied. Whether iPS cell-derived neurons will always faithfully recapitulate the same degenerative processes observed in patients and serve as platforms for drug discovery relevant to common late-onset diseases remains to be determined.	Animals;Cell Differentiation;Humans;Models, Theoretical;Nervous System Diseases;Pluripotent Stem Cells;Stem Cell Transplantation;Stem Cells	Ability;Animals;Cell Differentiation;Cells;Disease;Drug Discovery;Drug Evaluation, Preclinical;Humans;In Vitro;Late Onset Disorders;Medicine;Methods;Microscopy, Electron, Scanning Transmission;Models, Theoretical;Nervous System Diseases;Neurons;Patients;Pediatrics;Phenotype;Pluripotent Stem Cells;Production;Solutions;Stem Cell Transplantation;Stem Cells;Tissues		Han, Steve S W;Williams, Luis A;Eggan, Kevin C	[Massachusetts General Hospital];;	2.63	109	Neuron	70	4	626-44
U19MH104172	Group 1								10.1016/j.stem.2015.07.017	26279266	2015	Human Neuropsychiatric Disease Modeling using Conditional Deletion Reveals Synaptic Transmission Defects Caused by Heterozygous Mutations in NRXN1.	Heterozygous mutations of the NRXN1 gene, which encodes the presynaptic cell-adhesion molecule neurexin-1, were repeatedly associated with autism and schizophrenia. However, diverse clinical presentations of NRXN1 mutations in patients raise the question of whether heterozygous NRXN1 mutations alone directly impair synaptic function. To address this question under conditions that precisely control for genetic background, we generated human ESCs with different heterozygous conditional NRXN1 mutations and analyzed two different types of isogenic control and NRXN1 mutant neurons derived from these ESCs. Both heterozygous NRXN1 mutations selectively impaired neurotransmitter release in human neurons without changing neuronal differentiation or synapse formation. Moreover, both NRXN1 mutations increased the levels of CASK, a critical synaptic scaffolding protein that binds to neurexin-1. Our results show that, unexpectedly, heterozygous inactivation of NRXN1 directly impairs synaptic function in human neurons, and they illustrate the value of this conditional deletion approach for studying the functional effects of disease-associated mutations.	Amino Acid Sequence;Calcium-Binding Proteins;Cell Adhesion Molecules, Neuronal;Cell Differentiation;Cell Membrane;Enzyme Stability;Gene Knockout Techniques;Gene Targeting;Guanylate Kinases;Heterozygote;Human Embryonic Stem Cells;Humans;Mental Disorders;Miniature Postsynaptic Potentials;Models, Biological;Molecular Sequence Data;Mutation;Nerve Tissue Proteins;Neural Cell Adhesion Molecules;Neurons;Neurotransmitter Agents;Phenotype;Synapses;Synaptic Transmission;Synaptic Vesicles	Address;Amino Acid Sequence;Autistic Disorder;Calcium-Binding Proteins;Cell Adhesion;Cell Adhesion Molecules;Cell Adhesion Molecules, Neuronal;Cell Differentiation;Cell Membrane;Cells;Disease;Enzyme Stability;Gene Knockout Techniques;Gene Targeting;Genes;Genetic Background;Guanylate Kinases;Heterozygote;Human Embryonic Stem Cells;Humans;Mental Disorders;Miniature Postsynaptic Potentials;Models, Biological;Molecular Sequence Data;Mutation;Nerve Tissue Proteins;Neural Cell Adhesion Molecules;Neurons;Neurotransmitter Agents;Neurotransmitters;Patients;Phenotype;Proteins;Schizophrenia;Synapses;Synaptic Transmission;Synaptic Vesicles	autism;human neurons;iN cells;neurexin;schizophrenia;synapse;synaptic cell adhesion	Pak, ChangHui;Danko, Tamas;Zhang, Yingsha;Aoto, Jason;Anderson, Garret;Maxeiner, Stephan;Yi, Fei;Wernig, Marius;Südhof, Thomas C	[Stanford University, Stanford University School of Medicine];[Stanford Institute for Stem Cell Biology and Regenerative Medicine, Stanford University, Stanford University School of Medicine, University School];[Stanford University, Stanford University School of Medicine];[Stanford University, Stanford University School of Medicine];[Stanford University, Stanford University School of Medicine];[Stanford University, Stanford University School of Medicine];[Stanford University, Stanford University School of Medicine];[Stanford Institute for Stem Cell Biology and Regenerative Medicine, Stanford University, Stanford University School of Medicine, University School];[Howard Hughes Medical Institute, Stanford University, Stanford University School of Medicine]	4.43	126	Cell stem cell	17	3	316-28
U19MH107367	Group 2								10.1016/j.stemcr.2015.10.011	26610635	2015	Creating Patient-Specific Neural Cells for the In Vitro Study of Brain Disorders.	As a group, we met to discuss the current challenges for creating meaningful patient-specific in vitro models to study brain disorders. Although the convergence of findings between laboratories and patient cohorts provided us confidence and optimism that hiPSC-based platforms will inform future drug discovery efforts, a number of critical technical challenges remain. This opinion piece outlines our collective views on the current state of hiPSC-based disease modeling and discusses what we see to be the critical objectives that must be addressed collectively as a field.	Brain;Brain Diseases;Drug Discovery;Humans;Induced Pluripotent Stem Cells;Mosaicism;Neurogenesis;Precision Medicine	Brain;Brain Diseases;Cells;Disease;Drug Discovery;Future;Human Induced Pluripotent Stem Cells;Humans;In Vitro;Induced Pluripotent Stem Cells;Laboratories;Mosaicism;Neurogenesis;Opinions;Optimism;Outline;Patients;Precision Medicine		Brennand, Kristen J;Marchetto, M Carol;Benvenisty, Nissim;Brüstle, Oliver;Ebert, Allison;Izpisua Belmonte, Juan Carlos;Kaykas, Ajamete;Lancaster, Madeline A;Livesey, Frederick J;McConnell, Michael J;McKay, Ronald D;Morrow, Eric M;Muotri, Alysson R;Panchision, David M;Rubin, Lee L;Sawa, Akira;Soldner, Frank;Song, Hongjun;Studer, Lorenz;Temple, Sally;Vaccarino, Flora M;Wu, Jun;Vanderhaeghen, Pierre;Gage, Fred H;Jaenisch, Rudolf	[Icahn School of Medicine];[Salk Institute for Biological Studies];[Hebrew University of Jerusalem];[University of Bonn];[Medical College of Wisconsin];[Salk Institute for Biological Studies];[Novartis Institute for BioMedical Research];[MRC Laboratory of Molecular Biology];[The Gurdon Institute, University of Cambridge];[University of Virginia School of Medicine];[Lieber Institute for Brain Development];[Brown University];[University of California, San Diego];[National Institute of Mental Health];[Harvard University];[Johns Hopkins Hospital];[Whitehead Institute];[Johns Hopkins School of Medicine];[Memorial Sloan-Kettering Cancer Center];[Neural Stem Cell Institute];[Yale University];[Salk Institute for Biological Studies];[Université Libre de Bruxelles];[Salk Institute for Biological Studies];[Whitehead Institute]	2.07	57	Stem cell reports	5	6	933-945
U19MH106434	Group 3								10.1016/j.neuron.2015.03.051	25856479	2015	Seeking a roadmap toward neuroepigenetics.	A group of papers investigates functional regulatory elements in genomes from human tissue samples and cell lines. What can neuroscientists learn from the gigantic data set and how will it affect the direction of neuroepigenetics?	Animals;Epigenomics;Genetics;Humans;Nervous System;Neurons	Affect;Animals;Cell Line;Dataset;Elements;Epigenomics;Genetics;Genome;Humans;Nervous System;Neurons;Paper;Tissues		Shin, Jaehoon;Ming, Guo-li;Song, Hongjun	[Johns Hopkins School of Medicine];[Johns Hopkins School of Medicine];[Johns Hopkins Medicine, Johns Hopkins School of Medicine]	0.13	4	Neuron	86	1	12-5
U19MH104172	Group 1								10.1126/science.aaf2669	26966193	2016	Autism-associated SHANK3 haploinsufficiency causes Ih channelopathy in human neurons.	Heterozygous SHANK3 mutations are associated with idiopathic autism and Phelan-McDermid syndrome. SHANK3 is a ubiquitously expressed scaffolding protein that is enriched in postsynaptic excitatory synapses. Here, we used engineered conditional mutations in human neurons and found that heterozygous and homozygous SHANK3 mutations severely and specifically impaired hyperpolarization-activated cation (Ih) channels. SHANK3 mutations caused alterations in neuronal morphology and synaptic connectivity; chronic pharmacological blockage of Ih channels reproduced these phenotypes, suggesting that they may be secondary to Ih-channel impairment. Moreover, mouse Shank3-deficient neurons also exhibited severe decreases in Ih currents. SHANK3 protein interacted with hyperpolarization-activated cyclic nucleotide-gated channel proteins (HCN proteins) that form Ih channels, indicating that SHANK3 functions to organize HCN channels. Our data suggest that SHANK3 mutations predispose to autism, at least partially, by inducing an Ih channelopathy that may be amenable to pharmacological intervention.	Action Potentials;Animals;Autism Spectrum Disorder;Cells, Cultured;Channelopathies;Chromosome Deletion;Chromosome Disorders;Chromosomes, Human, Pair 22;Embryonic Stem Cells;Gene Deletion;Genetic Engineering;Genetic Predisposition to Disease;Haploinsufficiency;Humans;Hyperpolarization-Activated Cyclic Nucleotide-Gated Channels;Mice;Mice, Knockout;Microfilament Proteins;Mutagenesis;Nerve Tissue Proteins;Neurons;Synapses;Synaptic Transmission;Telomeric 22q13 Monosomy Syndrome	Action Potentials;Animals;Autism Spectrum Disorder;Autistic Disorder;Cations;Cells, Cultured;Channelopathies;Chromosome Deletion;Chromosome Disorders;Chromosomes, Human, Pair 22;Embryonic Stem Cells;Form;Gene Deletion;Genetic Engineering;Genetic Predisposition to Disease;Haploinsufficiency;Humans;Hyperpolarization-Activated Cyclic Nucleotide-Gated Channels;Mice;Mice, Knockout;Microfilament Proteins;Monosomy;Mutagenesis;Mutation;Nerve Tissue Proteins;Neurons;Phenotype;Proteins;Synapses;Synaptic Transmission;Syndrome		Yi, Fei;Danko, Tamas;Botelho, Salome Calado;Patzke, Christopher;Pak, ChangHui;Wernig, Marius;Südhof, Thomas C	[Stanford University, Stanford University School of Medicine];[Stanford Institute for Stem Cell Biology and Regenerative Medicine, Stanford University, Stanford University School of Medicine, University School];[Stanford University, Stanford University School of Medicine];[Stanford University, Stanford University School of Medicine];[Stanford University, Stanford University School of Medicine];[Stanford Institute for Stem Cell Biology and Regenerative Medicine, Stanford University, Stanford University School of Medicine, University School];[Howard Hughes Medical Institute, Stanford University, Stanford University School of Medicine]	7.16	165	Science (New York, N.Y.)	352	6286	aaf2669
U19MH107367	Group 2								10.1093/hmg/ddw008	26755826	2016	Cockayne syndrome-derived neurons display reduced synapse density and altered neural network synchrony.	Cockayne syndrome (CS) is a rare genetic disorder in which 80% of cases are caused by mutations in the Excision Repair Cross-Complementation group 6 gene (ERCC6). The encoded ERCC6 protein is more commonly referred to as Cockayne Syndrome B protein (CSB). Classical symptoms of CS patients include failure to thrive and a severe neuropathology characterized by microcephaly, hypomyelination, calcification and neuronal loss. Modeling the neurological aspect of this disease has proven difficult since murine models fail to mirror classical neurological symptoms. Therefore, a robust human in vitro cellular model would advance our fundamental understanding of the disease and reveal potential therapeutic targets. Herein, we successfully derived functional CS neural networks from human CS induced pluripotent stem cells (iPSCs) providing a new tool to facilitate studying this devastating disease. We identified dysregulation of the Growth Hormone/Insulin-like Growth Factor-1 (GH/IGF-1) pathway as well as pathways related to synapse formation, maintenance and neuronal differentiation in CSB neurons using unbiased RNA-seq gene expression analyses. Moreover, when compared to unaffected controls, CSB-deficient neural networks displayed altered electrophysiological activity, including decreased synchrony, and reduced synapse density. Collectively, our work reveals that CSB is required for normal neuronal function and we have established an alternative to previously available models to further study neural-specific aspects of CS.	Adolescent;Adult;Cell Differentiation;Cell Line;Child;Child, Preschool;Cockayne Syndrome;DNA Helicases;DNA Repair;DNA Repair Enzymes;Electrophysiological Phenomena;Female;Growth Hormone;Humans;Induced Pluripotent Stem Cells;Insulin-Like Growth Factor I;Male;Mutation;Nerve Net;Neurons;Poly-ADP-Ribose Binding Proteins;Signal Transduction;Synapses	Adolescent;Adult;Cell Differentiation;Cell Line;Child;Child, Preschool;Cockayne Syndrome;Comprehension;DNA Helicases;DNA Repair;DNA Repair Enzymes;Disease;Electrophysiological Phenomena;Excision Repair;Failure to Thrive;Female;Gene Expression;Genes;Growth Hormone;Hereditary Diseases;Humans;In Vitro;Induced Pluripotent Stem Cells;Insulin-Like Growth Factor I;Maintenance;Male;Microcephaly;Mutation;Nerve Net;Neurons;Neuropathology;News;Patients;Poly-ADP-Ribose Binding Proteins;Proteins;RNA-Seq;Signal Transduction;Somatomedins;Synapses;Therapeutics;Work		Vessoni, Alexandre T;Herai, Roberto H;Karpiak, Jerome V;Leal, Angelica M S;Trujillo, Cleber A;Quinet, Annabel;Agnez Lima, Lucymara F;Menck, Carlos F M;Muotri, Alysson R	[Institute of Biomedical Sciences, Academia Sinica, Rady Children's Hospital, University of California, San Diego, University of São Paulo];[Pontifical Catholic University of Paraná, Rady Children's Hospital, University of California, San Diego];[Rady Children's Hospital, University of California, San Diego];[Federal University of Rio Grande do Norte, Rady Children's Hospital, University of California, San Diego];[Rady Children's Hospital, University of California, San Diego];[Institute of Biomedical Sciences, Academia Sinica, University of São Paulo];[Federal University of Rio Grande do Norte];[Institute of Biomedical Sciences, Academia Sinica, University of São Paulo];[Rady Children's Hospital, University of California, San Diego]	0.87	20	Human molecular genetics	25	7	1271-80
U19MH107367	Group 2								10.1073/pnas.1524013113	26733678	2016	KCC2 rescues functional deficits in human neurons derived from patients with Rett syndrome.	Rett syndrome is a severe form of autism spectrum disorder, mainly caused by mutations of a single gene methyl CpG binding protein 2 (MeCP2) on the X chromosome. Patients with Rett syndrome exhibit a period of normal development followed by regression of brain function and the emergence of autistic behaviors. However, the mechanism behind the delayed onset of symptoms is largely unknown. Here we demonstrate that neuron-specific K(+)-Cl(-) cotransporter2 (KCC2) is a critical downstream gene target of MeCP2. We found that human neurons differentiated from induced pluripotent stem cells from patients with Rett syndrome showed a significant deficit in KCC2 expression and consequently a delayed GABA functional switch from excitation to inhibition. Interestingly, overexpression of KCC2 in MeCP2-deficient neurons rescued GABA functional deficits, suggesting an important role of KCC2 in Rett syndrome. We further identified that RE1-silencing transcriptional factor, REST, a neuronal gene repressor, mediates the MeCP2 regulation of KCC2. Because KCC2 is a slow onset molecule with expression level reaching maximum later in development, the functional deficit of KCC2 may offer an explanation for the delayed onset of Rett symptoms. Our studies suggest that restoring KCC2 function in Rett neurons may lead to a potential treatment for Rett syndrome.	Animals;Cells, Cultured;Humans;Induced Pluripotent Stem Cells;Male;Methyl-CpG-Binding Protein 2;Mice;Models, Biological;Mutation;Neurons;Repressor Proteins;Rett Syndrome;Symporters;gamma-Aminobutyric Acid	Animals;Autism Spectrum Disorder;Behavior;Brain;Cells, Cultured;Disease;Exhibition;Form;Genes;Humans;Induced Pluripotent Stem Cells;Lead;Male;Methyl-CpG-Binding Protein 2;Mice;Models, Biological;Mutation;Neurons;Patients;Regulation;Repressor Proteins;Rest;Rett Syndrome;Role;Symporters;Therapeutics;X Chromosome;gamma-Aminobutyric Acid	KCC2;MeCP2;Rett syndrome;disease modeling;human iPSC	Tang, Xin;Kim, Julie;Zhou, Li;Wengert, Eric;Zhang, Lei;Wu, Zheng;Carromeu, Cassiano;Muotri, Alysson R;Marchetto, Maria C N;Gage, Fred H;Chen, Gong	[Pennsylvania State University];[Pennsylvania State University];[Pennsylvania State University];[Bucknell University];[Pennsylvania State University];[Pennsylvania State University];[Rady Children's Hospital, University of California, San Diego];[Rady Children's Hospital, University of California, San Diego];[Salk Institute for Biological Studies];[Pennsylvania State University, Salk Institute for Biological Studies];[Pennsylvania State University, Salk Institute for Biological Studies]	5.19	114	Proceedings of the National Academy of Sciences of the United States of America	113	3	751-6
U19MH107367	Group 2								10.1038/nature18296	27279226	2016	The Brazilian Zika virus strain causes birth defects in experimental models.	Zika virus (ZIKV) is an arbovirus belonging to the genus Flavivirus (family Flaviviridae) and was first described in 1947 in Uganda following blood analyses of sentinel Rhesus monkeys. Until the twentieth century, the African and Asian lineages of the virus did not cause meaningful infections in humans. However, in 2007, vectored by Aedes aegypti mosquitoes, ZIKV caused the first noteworthy epidemic on the Yap Island in Micronesia. Patients experienced fever, skin rash, arthralgia and conjunctivitis. From 2013 to 2015, the Asian lineage of the virus caused further massive outbreaks in New Caledonia and French Polynesia. In 2013, ZIKV reached Brazil, later spreading to other countries in South and Central America. In Brazil, the virus has been linked to congenital malformations, including microcephaly and other severe neurological diseases, such as Guillain-Barré syndrome. Despite clinical evidence, direct experimental proof showing that the Brazilian ZIKV (ZIKV(BR)) strain causes birth defects remains absent. Here we demonstrate that ZIKV(BR) infects fetuses, causing intrauterine growth restriction, including signs of microcephaly, in mice. Moreover, the virus infects human cortical progenitor cells, leading to an increase in cell death. We also report that the infection of human brain organoids results in a reduction of proliferative zones and disrupted cortical layers. These results indicate that ZIKV(BR) crosses the placenta and causes microcephaly by targeting cortical progenitor cells, inducing cell death by apoptosis and autophagy, and impairing neurodevelopment. Our data reinforce the growing body of evidence linking the ZIKV(BR) outbreak to the alarming number of cases of congenital brain malformations. Our model can be used to determine the efficiency of therapeutic approaches to counteracting the harmful impact of ZIKV(BR) in human neurodevelopment.	Animals;Apoptosis;Autophagy;Brain;Brazil;Cell Proliferation;Disease Models, Animal;Female;Fetal Growth Retardation;Fetus;Mice;Microcephaly;Neural Stem Cells;Organoids;Placenta;Pregnancy;Zika Virus;Zika Virus Infection	Aedes;Animals;Apoptosis;Arboviruses;Arthralgia;Asians;Autophagy;Blood;Brain;Brazil;Cell Death;Cell Proliferation;Central America;Congenital Abnormalities;Conjunctivitis;Culicidae;Disease;Disease Models, Animal;Disease Outbreaks;Efficiency;Epidemics;Exanthema;Experimental Model;Family;Female;Fetal Growth Retardation;Fetus;Fever;Flaviviridae;Flavivirus;French Polynesia;Guillain-Barre Syndrome;Humans;Infections;Islands;Macaca mulatta;Mice;Microcephaly;Micronesia;Neural Stem Cells;New Caledonia;Organoids;Patients;Placenta;Pregnancy;Report;Stem Cells;Therapeutics;Uganda;Viruses;Zika Virus;Zika Virus Infection		Cugola, Fernanda R;Fernandes, Isabella R;Russo, Fabiele B;Freitas, Beatriz C;Dias, João L M;Guimarães, Katia P;Benazzato, Cecília;Almeida, Nathalia;Pignatari, Graciela C;Romero, Sarah;Polonio, Carolina M;Cunha, Isabela;Freitas, Carla L;Brandão, Wesley N;Rossato, Cristiano;Andrade, David G;Faria, Daniele de P;Garcez, Alexandre T;Buchpigel, Carlos A;Braconi, Carla T;Mendes, Erica;Sall, Amadou A;Zanotto, Paolo M de A;Peron, Jean Pierre S;Muotri, Alysson R;Beltrão-Braga, Patricia C B	[University of São Paulo];[Rady Children's Hospital, University of California, San Diego, University of São Paulo];[University of São Paulo];[Rady Children's Hospital, University of California, San Diego];[University of São Paulo];[University of São Paulo];[University of São Paulo];[University of São Paulo];[University of São Paulo];[Rady Children's Hospital, University of California, San Diego];[University of São Paulo];[University of São Paulo];[University of São Paulo];[University of São Paulo];[University of São Paulo];[University of São Paulo];[University of São Paulo];[University of São Paulo];[University of São Paulo];[University of São Paulo];[University of São Paulo];[Pasteur Institute];[University of São Paulo];[University of São Paulo];[Rady Children's Hospital, University of California, San Diego];[University of São Paulo]	39.43	803	Nature	534	7606	267-71
U19MH107367;U19MH106434	Group 2; Group 3								10.1038/nature19067	27509850	2016	A human neurodevelopmental model for Williams syndrome.	Williams syndrome is a genetic neurodevelopmental disorder characterized by an uncommon hypersociability and a mosaic of retained and compromised linguistic and cognitive abilities. Nearly all clinically diagnosed individuals with Williams syndrome lack precisely the same set of genes, with breakpoints in chromosome band 7q11.23 (refs 1-5). The contribution of specific genes to the neuroanatomical and functional alterations, leading to behavioural pathologies in humans, remains largely unexplored. Here we investigate neural progenitor cells and cortical neurons derived from Williams syndrome and typically developing induced pluripotent stem cells. Neural progenitor cells in Williams syndrome have an increased doubling time and apoptosis compared with typically developing neural progenitor cells. Using an individual with atypical Williams syndrome, we narrowed this cellular phenotype to a single gene candidate, frizzled 9 (FZD9). At the neuronal stage, layer V/VI cortical neurons derived from Williams syndrome were characterized by longer total dendrites, increased numbers of spines and synapses, aberrant calcium oscillation and altered network connectivity. Morphometric alterations observed in neurons from Williams syndrome were validated after Golgi staining of post-mortem layer V/VI cortical neurons. This model of human induced pluripotent stem cells fills the current knowledge gap in the cellular biology of Williams syndrome and could lead to further insights into the molecular mechanism underlying the disorder and the human social brain.	Adolescent;Adult;Apoptosis;Brain;Calcium;Cell Differentiation;Cell Shape;Cellular Reprogramming;Cerebral Cortex;Chromosomes, Human, Pair 7;Dendrites;Female;Frizzled Receptors;Haploinsufficiency;Humans;Induced Pluripotent Stem Cells;Male;Models, Neurological;Neural Stem Cells;Neurons;Phenotype;Reproducibility of Results;Synapses;Williams Syndrome;Young Adult	Ability;Adolescent;Adult;Apoptosis;Brain;Calcium;Calcium Waves;Cell Biology;Cell Differentiation;Cell Shape;Cellular Reprogramming;Cerebral Cortex;Chromosomes;Chromosomes, Human, Pair 7;Dendrites;Female;Frizzled Receptors;Genes;Genetics;Haploinsufficiency;Human Induced Pluripotent Stem Cells;Human Remains;Humans;Induced Pluripotent Stem Cells;Knowledge;Lead;Linguistics;Male;Models, Neurological;Neural Stem Cells;Neurodevelopmental Disorders;Neurons;Pathology;Phenotype;Reproducibility of Results;Spine;Staining;Stem Cells;Synapses;Time;Williams Syndrome;Young Adult		Chailangkarn, Thanathom;Trujillo, Cleber A;Freitas, Beatriz C;Hrvoj-Mihic, Branka;Herai, Roberto H;Yu, Diana X;Brown, Timothy T;Marchetto, Maria C;Bardy, Cedric;McHenry, Lauren;Stefanacci, Lisa;Järvinen, Anna;Searcy, Yvonne M;DeWitt, Michelle;Wong, Wenny;Lai, Philip;Ard, M Colin;Hanson, Kari L;Romero, Sarah;Jacobs, Bob;Dale, Anders M;Dai, Li;Korenberg, Julie R;Gage, Fred H;Bellugi, Ursula;Halgren, Eric;Semendeferi, Katerina;Muotri, Alysson R	;;;;;;;;;;;;;;;;;;;;;;;;;;;	4.24	103	Nature	536	7616	338-43
U19MH106434	Group 3	Review							10.1016/j.stem.2016.11.014	27912090	2016	Advances in Zika Virus Research: Stem Cell Models, Challenges, and Opportunities.	The re-emergence of Zika virus (ZIKV) and its suspected link with various disorders in newborns and adults led the World Health Organization to declare a global health emergency. In response, the stem cell field quickly established platforms for modeling ZIKV exposure using human pluripotent stem cell-derived neural progenitors and brain organoids, fetal tissues, and animal models. These efforts provided significant insight into cellular targets, pathogenesis, and underlying biological mechanisms of ZIKV infection as well as platforms for drug testing. Here we review the remarkable progress in stem cell-based ZIKV research and discuss current challenges and future opportunities.	Animals;Humans;Models, Biological;Nervous System;Stem Cell Research;Stem Cells;Zika Virus;Zika Virus Infection	Adult;Animals;Biopharmaceuticals;Brain;Cells;Emergencies;Fetal Tissue;Future;Global Health;Humans;Infant, Newborn;Infections;Microcephaly;Models, Animal;Models, Biological;Nervous System;Neurogenesis;Organoids;Pharmaceutical Preparations;Pluripotent Stem Cells;Radial Glial Cells;Research;Review;Stem Cell Research;Stem Cells;World Health Organization;Zika Virus;Zika Virus Infection	SpinΩ;Zika;iPSC;microcephaly;neurogenesis;organoid;outer radial glia cell;radial glia cell	Ming, Guo-Li;Tang, Hengli;Song, Hongjun	[Johns Hopkins Medicine, Johns Hopkins School of Medicine];[Florida State University];[Johns Hopkins Medicine, Johns Hopkins School of Medicine]	3.22	80	Cell stem cell	19	6	690-702
